
IP: ::1, Method: GET, Endpoint: /assignments/ 
IP: ::1, Method: PUT, Endpoint: /assignments/ 
IP: ::1, Method: PUT, Endpoint: /assignments/5 
IP: ::1, Method: GET, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
IP: ::1, Method: POST, Endpoint: /assignments/ 
